TeamId,UserId,TeamName
"80178","104999","Matthew Aeschbacher"
"79425","119990","sbennett"
"82582","92518","Giazon"
"75893","158250","Ross Jacobucci"
"79469","81503","B.j. Glorioso"
"72495","113441","Convalytics"
"72495","115442","Convalytics"
"72837","158417","baseballnut"
"72467","118285","Patrick Miller"
"81498","41803","rvprasad"
"76032","104136","MLMartin"
"82302","176109","ggalgon"
"77085","83443","Satya Prakash"
"77541","167161","pistoldawn"
"77541","167442","pistoldawn"
"77541","167445","pistoldawn"
"77350","22502","WhiteBoardMarker"
"73897","92319","Huashuai Qu"
"79577","148177","atul rajan"
"78949","17585","AR2"
"80845","173347","Yrjö Häme"
"79264","165426","NU MSiA"
"79264","166887","NU MSiA"
"79264","167012","NU MSiA"
"80287","172409","Aphinium Corporation"
"80287","173788","Aphinium Corporation"
"80287","173800","Aphinium Corporation"
"71936","31963","domoldo"
"77314","91957","mark gingrich"
"81420","112902","Rajendra Kumar Gupta"
"80017","171848","David Fang"
"82118","47154","Simon W"
"78179","45891","Raghavendra Ganesh"
"81462","115154","Alpha Omega Analytics"
"82208","157036","Jeff Coughlin"
"81619","41475","Alejandro Morales G"
"79301","125645","mondoraus"
"82602","176769","Ryan Cress"
"78617","135938","chapaev28"
"82096","95606","Andrew O'Shea"
"81681","175381","Andrew Batchelor"
"77289","166869","CP Predictors"
"77289","166870","CP Predictors"
"78366","19619","The IIDs of March"
"78366","56281","The IIDs of March"
"78366","92513","The IIDs of March"
"78366","96056","The IIDs of March"
"78366","129706","The IIDs of March"
"78366","154336","The IIDs of March"
"78366","154822","The IIDs of March"
"78366","160425","The IIDs of March"
"78366","160542","The IIDs of March"
"78366","160544","The IIDs of March"
"78366","160546","The IIDs of March"
"78366","161355","The IIDs of March"
"78366","161361","The IIDs of March"
"78366","161949","The IIDs of March"
"81260","174043","Evans Xiang"
"82559","153041","Homma3"
"81133","126627","Bob Hay"
"81629","175492","lushiouslest"
"76277","55845","JoeB"
"82221","58710","BDH ESU"
"82480","171203","oxfordcomma"
"76289","165071","Maky"
"78081","161240","UTexas MSBA1"
"78081","163642","UTexas MSBA1"
"78081","163954","UTexas MSBA1"
"81923","175749","gewh10"
"82139","52072","ThierryS"
"82561","176665","Bob Cordwell"
"81643","169886","thekaiser"
"79328","144377","Silesian Team"
"79328","165705","Silesian Team"
"79328","175821","Silesian Team"
"73782","417","maxqld"
"82571","176727","Calafontaine"
"82271","31202","Edmond Dantes"
"82424","168964","Make Some Noise!"
"72801","144891","ddductr"
"72801","157158","ddductr"
"76279","150135","Data Insights"
"76279","165938","Data Insights"
"76279","165948","Data Insights"
"76279","165953","Data Insights"
"76279","165969","Data Insights"
"76279","167233","Data Insights"
"76279","167313","Data Insights"
"71159","155812","Wahoowa"
"81882","167035","hops"
"82276","154461","benvandyke"
"77311","159455","knicks9"
"77311","159810","knicks9"
"77311","166987","knicks9"
"79151","61163","surya"
"81547","101149","Random Forest"
"82390","116998","meat hamster"
"82034","176027","worthatry"
"82509","176667","Tacitus"
"81030","172201","random"
"81829","37078","akoug"
"82268","176379","TwoShoesDrake"
"80756","42790","zachs"
"82309","176424","Jewelz Andrews"
"80895","13518","Travis Erdman"
"74448","46867","Yonasan Schwartz"
"82432","161521","AndrewQ"
"82260","143710","BAYZ"
"82260","157799","BAYZ"
"71162","45759","The Mark Glickman Fan Club"
"71162","155820","The Mark Glickman Fan Club"
"82588","175983","Eric Akers"
"81552","165818","Jarrod Olson"
"82487","12655","Ro,meo"
"82444","165090","dnaeye"
"81953","112733","Dustin"
"81683","95632","anthonyj"
"79410","105807","yankovai"
"82474","175648","Roger Koenker"
"81186","173919","gpierce90"
"80771","104259","Ron Paider"
"71833","114648","Terrible"
"77683","166621","Data-Tri-ners"
"77683","167737","Data-Tri-ners"
"77683","167742","Data-Tri-ners"
"81076","173736","submittedthewrongfile"
"82084","139380","Alex Prodan"
"82116","49639","Michel Blaauw"
"71157","5309","Abhishek"
"71356","151442","Arul A P"
